Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
Keno Trailed-incised Beaker,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,8.30 cm,600 AD,"pottery; fine-trailed incising, Blackburn 1 design, notched lip; two chips missing from rim, no good evidence of use or wear"
Ceramic pot,Ornamental Ceramic Wares,01139,Maria Poveka (Maria Martinez),Ceramic,Height: 5 in. Width: 4.5in.,,
Avery Engraved Bowl,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,9.70 cm,600 AD,"pottery; concentric circle design with crosshatched background on rim and body, repeated four times; no signs of use or wear"
Juniper Brushpot,Ornamental Ceramic Wares,00215,Sun Lu,Chinese juniper wood,6.75 x 6.75 in,1728,"vessel; inscription in Chinese ""This is a foreign wood from overseas. I do not know what it was called. Obtained in Taiway, I carved it into a brushpot to display its characteristics. Yongzheng 6th year, the 10th of the 9th month. Sun Lu"" Two seals, Sun Lu and Daidong"
Karnack Brushed-Incised Jar,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,16.50 cm,600 AD,"pottery; short vertical incisions under lip, fine vertical brushing on body; heavy, rolled lip, no signs of use or wear"
Silver Tea Service,Ornamental Ceramic Wares,00240,,Silver,,,"tea service; Marked ""Reed &amp; Barton Lexington 351"""
Pre-Columbian (Nazca or Chimu) Red Glaze Pot,Ornamental Ceramic Wares,00507,Nazca; Chimu,Ceramic,10 in,600,pot; Pre-Columbian
Native American Tonto Polychrome Jar,Ornamental Ceramic Wares,00205,Native American,Ceramic,,13th Century,pot; geometric; Southwest; red; black; white; Number 72.1.156/375; Rim has large crack in it.
Belcher Engraved Bottle,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,20.10 cm,600 AD,"pottery; Elizabeth 2 design with traces of red pigment in lines; incised circular and triangular designs, several small chips missing from lip, evidence of wear and use"
Marie and Julian Martinez ceramic pot,Ornamental Ceramic Wares,01139,Marie and Julian Martinez,Ceramic,Height: 5.75 in.; Width: 8.25 in.,,Signed Marie and Julian
Hodges Engraved Bottle,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,9.20 cm,600 AD,"pottery; engraved wave-like and circle design with heavy red pigment in lines; spool neck, flared rim, no nicks or cracks"
Wedding Vase,Ornamental Ceramic Wares,01139,Sherry Tafoya,Ceramic pot,Height,,
Wedgewood (blue and white colored) urn.,Ornamental Ceramic Wares,00081,Wedgewood,Porcelain,16 in,,urn; figures
Royal Satsuma Tea Set,Ornamental Ceramic Wares,00240,Satsuma,Porcelain,,Early 19th Century,tea set; Asian; dragon
Ceramic pot by Teresita Naranjo (3),Ornamental Ceramic Wares,01139,Teresita Naranjo,Ceramic pot,Height,,
Intricately carved ivory teapot and cover,Ornamental Ceramic Wares,00505,Chinese,Ivory,teapot,,
San Ildefonso,Ornamental Ceramic Wares,01139,Rosa Gonzales,Ceramic pot,Height: 4.25in; Width: 5in,,
Ceramic pot by Marie/Julian Martinez (2),Ornamental Ceramic Wares,01139,Marie/Julian Martinez,Ceramic pot,Height: 3.75 in; Width: 4.25 in,,"Signed ""Marie--Julian"
"Pre-Columbian, Narino Negative Painting Vessel",Ornamental Ceramic Wares,00689,Colombia,vessel; Pre-Columbian,,,
Belcher Engraved Bowl,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,6.7 cm,600 AD,"pottery; central design with white pigment, horizontally incised line on inside of bowl at shoulder line; no nicks or cracks, considerable amount of mica in paste, no signs of use or wear"
Satsuma Tea Set,Ornamental Ceramic Wares,00240,Satsuma,Porcelain,,Circa 1840,tea set; people; butterflies; Marked
Belcher Engraved Bowl (Warped),Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,,600 AD,"pottery; Slanted line motif, repeats 4 times; sharp shouldered bowl, four pronounced nodes"
"Native American Bowl, Salado",Ornamental Ceramic Wares,00205,Native American,Ceramic,6.25 in,13th Century,pot; geometric; Southwest; red; white
Hodges Engraved Bowl,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,6 cm,600 AD,"pottery; El Camino 1 design with traces of red pigment in lines; vessel is warped with large crack in one side, interior and exterior surfaces eroded"
Foster Trailed Incised Vessel,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,20.5 cm,600 AD,pottery; incised volute design composed of broadly trailed lines; no signs of use or wear
Hodges Engraved Bottle,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,10.10 cm,600 AD,"pottery; meander motif engraved in red pigment, repeats four times; plain flaring rim, short spool neck, rim slightly damaged, vessel slightly warped"
Edo Tea Bowl,Ornamental Ceramic Wares,00507,Japan,Ceramic,,1750,tea bowl
Raku (Temoku Style),Ornamental Ceramic Wares,00507,Japan,Japan,5 in,20th Century,tea bowl
Indian Boy in Full Dress/ Oklahoma Cheyenne,Ornamental Ceramic Wares,01213,Joseph Henry Sharp,Oil on canvas,Height: 18 in; Width: 12 in,c. 1915,painting; native american; headdress; feathers
Native American Effigy Pot,Ornamental Ceramic Wares,00205,Native American,Ceramic,Height,13th Century,pot; geometric; Southwest; bird; Number 72.1.177/DP40
"Native American Bowl, Red on Creme with Bands",Ornamental Ceramic Wares,00205,Native American,ceramic,,,pot; geometric; Southwest; red; Number 72.1.153/SB450; Slip chipped off in one section near base.
Medium Socorro Jar,Ornamental Ceramic Wares,00864,Navaho,Clay,12 in,1200-1300,pottery; mint condition
Chien-Yao,Ornamental Ceramic Wares,00507,China,Ceramic,6 in,1200,tea bowl
"French, Sevres Urns",Ornamental Ceramic Wares,00240,Sevres; France,,28.5 x 10.5 in,Circa 1787,urn
Style #11 Pamela Lange,Ornamental Ceramic Wares,01139,Rose Chino,Ceramic,3.75 x 4.75 in,,
Pre-Columbian Tetrapod,Ornamental Ceramic Wares,00569,Olmec,Stone carved,12 x 12 in,1800-1000 BC,Vessel; Pre-Columbian
Sheffield Hallmarked Elaborate Silver Tea Set,Ornamental Ceramic Wares,00183,Emile Viner,Sterling silver,,1930's,Tea Service; Hallmark of Sheffield
Blue and White Ribbed Urn,Ornamental Ceramic Wares,00240,,,22.5 x 11 in,,"urn; Marked with interlacing L's with 7 flames above, a L in the center (L is date letter for 1764), reverse S below with two dots to the right"
Ceramic pot,Ornamental Ceramic Wares,01139,Carmelita Dunlap,Ceramic,Height: 17in.; Diameter: 11.75 in.,,
Imperial Crown of the Virgin of the Rosary,Other - Altar, 00475,, silver,22 cm,20th Century,Spanish Colonial
Crown of the Immaculate Virgin,Other - Altar,00475,,Gold and silver,38 cm x 17 cm,18th Century,Spanish Colonial; Liturgical object
Imperial Crown of the Virgin of las Mercedes,Other - Altar,00475,,Silver and gold,Height: 30 cm,18th Century,"Spanish Colonial, CZ.C2/V/2.4/B/006.007"
Silver Rods (Canutos),Other - Altar,00475,,Rolled silver,,,Spanish Colonial
Diadem of the Sorrowful Mother,Other - Altar,00475,,Silver,16 cm x 35.5 cm,19th Century,"Spanish Colonial, CZ.C2/v/2.4/B.006/012"
(Retablo) - Immaculada de Concepcion,Other - Altar,01148,Unknown,"Carved wood retable, altarpiece that has eight columns with eight paintings",Height: 1000 cm; The Altarpiece is approximately 10 square meters Width: 1000cm.,18th Century,
Deformed Nazca Skull,Other - Altar,00470,Nazca,Human bone,"5.31"" x 6.3"" x 6.5""",200 BC - 600 AD,
Imperial Crown,Other - Altar,00475,Spanish Colonial,Silver,Height: 22 cm.,19th Century,08-03-01-v-2.4-B006-10
Crown,Other - Altar,00475,Spanish Colonial,Silver,11 x 19.5 cm,19th Century,
Tibetan Altar,Other - Altar,00258,Tibetan,Copper; Gilt,21 in,,altar; religious; altar
Altar Frontal Trim,Other - Altar,00475,Spanish Colonial,Silver laminated and embossed,10 cm x 130 cm,18th Century,Inv. CZ. C2/V/2.4/B.006/003
The Captain Whitney Pipe,Other - Arts and Antiques,01220,Unknown,Ivory,,,
Tibetan prayer horn with leather image attached,Other - Arts and Antiques, 00775, Tibet, Wood leather, 12 x 10 in,, prayer horn; religious; figure
Lioness Killing a Man,Other - Arts and Antiques, 01160, Nimrud, plaque; lion; man,,,
Spanish Colonial Crown,Other - Arts and Antiques, 00476, Spanish Colonial, Silver,, 20th Century, metalwork; crown
Tiffany Stained Glass Window with Blue Tree,Other - Arts and Antiques, 01069, Tiffany, Stained glass, 55.75 x 29.5 in, Early 20th Century," window; tree; stream; mountain; sunset; Lower right corner ""Tiffany Studios"""
Pre-Columbian Stone Mallet Head,Other - Arts and Antiques, 00689, Pre-Columbian, Stone,,, mallet head; Pre-Columbian
Image of Stamp (Fun Ai Lan),Other - Arts and Antiques, 00771, Japan, Stone, 4 x 1 x 1 in, 1990, seal; Japanese characters; animal
Ottoman Period Architectural Embellishment,Other - Arts and Antiques, 01099, Ottoman; Turkey, Stone, 47.00 x 72.00 cm,, architectural element
Islamic Tombstones,Other - Arts and Antiques, 01160, Iraq, tombstone; Islamic,,,
The Ancient Time,Other - Arts and Antiques, 00697, Keliang Chen; China, Ink on paper silk,, 1990," scroll; abstract art; blue; gold; black; Chinese characters; Not signed, possible seal"
Chinese antique bamboo opium pipe with ivory at each end,Other - Arts and Antiques, 00775, Chinese, bamboo ivory ceramic,,, pipe
"Concentric Millefiori, Dog Silhouette Cane",Other - Arts and Antiques, 01116,, Glass, 2.25 in, 19th Century, Paperweight; Decorative; Dog silhouette; dated and signed SL 1848 upper left
Three Powers of Christ (Tres potencias de Jesus Nazareno),Other - Arts and Antiques, 00474,, Embossed silver, 7.00 x 22.00 cm,, religious symbol; flower
"Japanese Inro, Peacock",Other - Arts and Antiques, 00849, Japan, Lacquer; wood inlay; mother of pearl, 8.10 x 5.70 x 2.50 cm, 19th Century, inro; box; Asian; peacock; flowers
Alligator Skull,Other - Arts and Antiques, 01019,, Bone, 8 in,, fossil; skull; alligator
Fossil Rabbit,Other - Arts and Antiques, 00847,, Partially mineralized bone, 2 x 1 in,, fossil; catalogue number 16921; bone fracture patterns are unique
Memphis Gold Cup Race Trophy,Other - Arts and Antiques,,, 18k Gold, Height: 11 5/8 in; Diameter: 6 in, 1902, Three inscribed names
Golden Autumn,Other - Arts and Antiques, 00697, Keliang Chen; China, Ink on paper; silk,, 1990, scroll; abstract art; lavender; green; yellow; gold; red stamp lower right
Fossil Horse,Other - Arts and Antiques, 00847, Partially mineralized bone,, 7.5 x 3.75 in,, fossil; catalogue number 352701; 4 of the tooth sockets for the incisors have their exterior walls broken off
"Japanese Inro, Boy Fighting Demon",Other - Arts and Antiques, 00849, Japan, Lacquer; wood; mother of pearl, 6.60 x 5.20 x 2.10 cm, 18th Century," inro; box; Asian; figure; Signature in gold on base, ""Ritsuo,"" and green-glazed pottery seal, ""Kan."""
"Silver Mug (17th Century, Hunting Scenes)",Other - Arts and Antiques, 01067,, Silver,, 17th Century," mug,hunting"
Study for Bees,Other - Arts and Antiques, 00819, Graham Sutherland, Watercolor and mixed media, 3 x 12.25 in, 1977," Mixed Media; Initialed and dated lower right ""G.S. 1977""; The work is in very good condition. The paper seems to be in good shape. There is no noticeable damage. The frame is good condition. Gilded wood with glass covering. A bit of scuffing and some dirty spots, but very structurally sound."
Pair of Gilt Bronze Sconces,Other - Arts and Antiques, 00183,, Gilt bronze,, 1870-1890, Sconce
Crown and Orb,Other - Arts and Antiques, 00476,, Engraving; embossing; silver,, 20th Century," Spanish Colonial,  metalwork; crown; globe"
Cavallo e cavaliere (grey),Other - Arts and Antiques, 00819, Marino Marini," Pen, ink and gouache on paper", 32 x 22.75 in, 1953," Gouache; Singed and dated lower right ""Marino 1953""; The top half of the work looks in very good condition. Bottom middle and right have some slight areas of cracking. There is an area of bent/raised paper above the artist's signature. Otherwise, the work is in very good condition. The frame is excellent condition (wood frame with glass covering),"
Faberge Pedestal Egg,Other - Arts and Antiques, 00956, Faberge, Gold; rubies; enamel,, 1890, egg; Faberge seal
Dagger and Scabbard,Other - Arts and Antiques,00274,Anonymous, Gold; steel; gemstones,,, weapon; Dagger hilt inlaid with 4 diamonds surrounding 1 emerald. Lower grip of dagger has 15 small diamonds surrounding oval ruby. Scabbard has 4 rubies at throat and is also inlaid with an emerald over a ruby surrounded by 12 small diamonds. At tip of scabbard is ruby surrounded by 12 small diamonds.
"Russian, Pink and Gold Enamel Picture Frame",Other - Arts and Antiques, 00956, Russian, Enamel; gold, 4 in,, frame; portrait; woman; eagle
William M. Reynolds Chalice,Other - Arts and Antiques, 00631,, Silver,,,
Faberge Nephrite Jade Blade,Other - Arts and Antiques, 00956, Faberge; Michael Evlampievich Perchin, Jade; silver; gold; rubies; diamonds; enamel, 8.75 in, 1895-1905," letter opener; horse; Faberge mark, 56 gold mark, silver 88 mark, Michael Perchin workmaster mark; Nephrite jade blade, figural head of horse on top of the handle. Head is silver with yellow gold mane, bridle and buckled reins. Ruby eyes, band of diamonds below embedded in yellow and rose gold. Purple chinoiserie enameling with rose and yellow gold draping beads of tiny embedded diamonds (18), are in the gold wreath in jade on the top of the blade with larger rose point diamonds (2) embedded on each side of the blade. Larger diamonds are approximately .30 carat weight. There are 23 approximately .10 carat diamonds at the base of the horse head with 4 more approximately .20 carat diamonds at swag points. All original condition with no stones missing."
Faberge Pill Box with White Chinoiserie Enameling,Other - Arts and Antiques, 00956, Faberge; Henrik Immanuel Wigstrom, Gold; silver; enamel; diamonds,, 1890-1905," pill box; crown; wreath; Faberge mark, 88 silver mark, H.W. workmaster mark, 72 gold head mark. White chinoiserie enameling on solid silver cylinder shape. Yellow gold oval hinged box, red enameled band on each end of tube. Approximately .30 carat diamond mounted on center top of lid embedded in gold crown with wreath of yellow gold around the diamond. Gold wreath border followed by small pearl embedded border of gold. The tube motif is a garland drape on embedded crown (3 diamonds and 5 tiny diamond chips) of rose gold. Wreath is yellow gold with rose gold ribbon accents. Other side has central figure of double headed Faberge eagle in rose gold. Heavy border accents of feather engraved yellow gold."
"A Statement of the Manager's Acc'ts, 1807",Other - Arts and Antiques, 00104, Samuel Blodget, Paper, 3 x 5 1/2 x 3/4 in, 1807, journal
Untitled Chinese Buddhist Scroll,Other - Arts and Antiques, 00697, Hua Li; China, Paper, 102 x 34 in, 1989, scroll; Asian; Buddhism; figure; standing; robe; hat; Chinese characters
Image of stamp (Fun Ah Lan),Other - Arts and Antiques, 00771, China, Stone, 3 x 13/16 x 13/16 in, 1987, seal; Chinese characters; animal
Roman Funerary Stele (Man and Woman),Other - Arts and Antiques, 01088, Roman, Marble, 100.00 x 100.00 x 26.00 cm, 2nd Century," funerary stele, funeral, woman, man"
"Catalogue of the Pictures at Doughty House, Richmond, Vol. II, Dutch and Flemish Schools",Other - Arts and Antiques, 00390, Sir Frederick Cook,,, 1914, art catalogue; one of three in a set
Faberge Bowl,Other - Arts and Antiques, 00631, Faberge, Silver,, 1900, Russian inscription; seals of Catherine the Great
Victorian Geisha,Other - Arts and Antiques, 00538, John Patrick Kelly, Bronze, 15 in,, hand mirror; woman; Signed; Edition Number 1/22
Norman Rockwell's White Ceramic Pipe,Other - Arts and Antiques, 00740, Ceramic, Ceramic, 6 in,, pipe; Norman Rockwell
Letter to the Countess of Huntingdon,Other - Arts and Antiques, 00430, Charles Wesley,handmade laid paper, Approximately 20 cm x 14.5 cm," May 30, 1755"," Page has ""B-82"" in pencil at top of page."
Five Cobalt Blue Faberge Liqueur Tumblers,Other - Arts and Antiques, 00956, Faberge; Henrik Immanuel Wigstrom, Gold; enamel; silver,Height: 1.5 in; Diameter: 1 in, 1903-1918," liqueur set; tumblers; tray; Czar Nicholas II; Faberge mark, workmaster ""HW"" mark, 88 silver mark; Five tumblers in caddy with gold plated tray bordered in blue. Tumblers are gold with outer blue enameling. Five delicate gold leaves between rings on caddy. Russian gold coins with Czar Nicholas head used as handles. Gilded silver with enameled design is in ""en plein"" method with uniform translucent layers over an engine turned guilloche ground. Guilloche pattern of curving parallel lines enameling is done in deep rich cobalt blue color."
Midlesex Described with the Most Famous Cities of London and Westminster,Other - Arts and Antiques, 00160,," map; London, England; United Kingdom", 36 x 60 in,,
"Japanese Inro, Landscapes",Other - Arts and Antiques, 00849, Japan, Lacquer; wood inlay; mother of pearl; gold leaf, 10.20 x 3.20 x 2.50 cm, Late 18th Century, inro; box; Asian; figures
Double frame,Other - Arts and Antiques, 00956, Henrik Immanuel Wigstrom, Enamel silver diamonds, 4 x 6 in,, frame; woman; portrait; child
La Jeune Fille | Young Woman,Other - Arts and Antiques, 00120, Erte, Bronze, 12 1/8 in, 1919," hand mirror; sculpture; nude women; art deco; Serial number 78 engraved on work. Signed ""Erte"""
Halo,Other - Arts and Antiques, 00476, Spanish Colonial, Metal engraved,,, metalwork; halo
